"order_id","product_id","product_category","item_count"
"1b15974a0141d54e36626dca3fdc731a","ee3d532c8a438679776d222e997606b3","computers_accessories","20"
"ab14fdcfbe524636d65ee38360e22ce8","9571759451b1d780ee7c15012ea109d4","auto","20"
"428a2f660dc84138d969ccd69a0ab6d5","89b190a046022486c635022524a974a8","furniture_decor","15"
"9ef13efd6949e4573a18964dd1bbe7f5","37eb69aca8718e843d897aa7b82f462d","garden_tools","15"
"73c8ab38f07dc94389065f7eba4f297a","422879e10f46682990de24d770e7f83d","garden_tools","14"
"9bdc4d4c71aa1de4606060929dee888c","44a5d24dd383324a421569ca697b13c2","telephony","14"
"37ee401157a3a0b28c9c6d0ed8c3b24b","d34c07a2d817ac73f4caf8c574215fed","telephony","13"
"2c2a19b5703863c908512d135aa6accc","03e1c946c0ddfc58724ff262aef08dff","housewares","12"
"3a213fcdfe7d98be74ea0dc05a8b31ae","a62e25e09e05e6faf31d90c6ec1aa3d1","watches_gifts","12"
"6c355e2913545fa6f72c40cbca57729e","32e18e89237933ebdaaebd78a27e7fa1","housewares","11"
"f80549a97eb203e1566e026ab66f045b","d5991653e037ccb7af6ed7d94246b249","computers_accessories","10"
"8272b63d03f5f79c56e9e4120aec44ef","05b515fdc76e888aada3c6d66c201dff","health_beauty","10"
"a483ffe0ce133740ab12ebcba8a3ccf9","36f60d45225e60c7da4558b070ce4b60","computers_accessories","10"
"8272b63d03f5f79c56e9e4120aec44ef","270516a3f41dc035aa87d220228f844c","health_beauty","10"
"e8fa22c3673b1dd17ea315021b1f0f61","0c9439abe84dc40a64fc164365c4d064","drinks","10"
"c52c7fbe316b5b9d549e8a25206b8a1f","0e1fa2aadc04afbf8fb30200aeba06a2","housewares","9"
"f368c3e5edb7b7db5296654ed37464b2","c7fd13b5e515bffdab855d0812842edb","furniture_decor","9"
"be382a9e1ed25128148b97d6bfdb21af","6dde44b4172999f35f08654d06bad633","office_furniture","8"
"03caa2c082116e1d31e67e9ae3700499","5769ef0a239114ac3a854af00df129e4","fixed_telephony","8"
"dc43adc8cf44306503fd3db002d5db5f","4cce2fad3d2dec6f82510d2521aebdd3","housewares","7"
"e332eda82fe7ca4e86daf4f71ca785df","f2a1b32f85cad59ff2a8444154ac25f0","air_conditioning","7"
"3e6f06c624c7f67d6a0710e39ca97f2b","810cfa5dd36b001cfc186499381f72ab","furniture_decor","7"
"895dce73de79888b14581541cf3a811b","0e839be47c2dc028ca3d90e65732b14c","furniture_decor","7"
"8e8f8ef29c78c7b9c98cac70dd331ce2","e7cc48a9daff5436f63d3aad9426f28b","telephony","6"
"ad71f559c9264f19bdacbc2062847e74","4c751914ccc83ec17b8913cffdee3c3c","furniture_decor","6"
"a23c7a7d06f1f8e9f6e45f934c7e106b","ec3f8e78677c7e0395b155bc67417158","computers_accessories","6"
"1a9543c90f188e2e4fb14327ad4a9c9b","e8316a4667e5870c85e906b1f062bde1","office_furniture","6"
"82acff152625d343c9ef91512401c210","e1f4f59902f2935d4266b1e238d6f563","home_construction","6"
"e55ccf4e8ae6aa77431729b1bf96d741","71fc2a7d96a222b04e4131cfc006f265","telephony","6"
"c3be15258fc4adeb2c7569983b4afb99","f288cae3916218ec01f708d093b29d4f","garden_tools","6"
"e5bc812e034a9041261c8637e4dc4497","fdff6fbfaeefd11afe77be6f416e9c4e","housewares","6"
