"category_name","month","avg_review_score","total_reviews"
"bed_bath_table","2017-10-01","3.82","543"
"bed_bath_table","2017-11-01","3.60","944"
"bed_bath_table","2017-12-01","3.83","537"
"bed_bath_table","2018-01-01","3.88","821"
"bed_bath_table","2018-02-01","3.56","675"
"bed_bath_table","2018-03-01","3.65","770"
"bed_bath_table","2018-04-01","3.97","675"
"bed_bath_table","2018-05-01","4.01","721"
"bed_bath_table","2018-06-01","3.96","744"
"bed_bath_table","2018-07-01","4.26","544"
"bed_bath_table","2018-08-01","4.08","638"
"books_general_interest","2017-01-01","5.00","2"
"books_general_interest","2017-02-01","4.38","8"
"books_general_interest","2017-03-01","4.38","24"
"books_general_interest","2017-04-01","4.73","11"
"books_general_interest","2017-05-01","4.45","20"
"books_general_interest","2017-06-01","4.75","20"
"books_general_interest","2017-07-01","5.00","13"
"books_general_interest","2017-08-01","4.77","26"
"books_general_interest","2017-09-01","3.93","14"
"books_general_interest","2017-10-01","4.70","10"
"books_general_interest","2017-11-01","4.25","36"
"books_general_interest","2017-12-01","4.59","41"
"books_general_interest","2018-01-01","4.68","44"
"books_general_interest","2018-02-01","4.36","28"
"books_general_interest","2018-03-01","4.50","38"
"books_general_interest","2018-04-01","4.54","41"
"books_general_interest","2018-05-01","4.46","50"
"books_general_interest","2018-06-01","4.76","37"
"books_general_interest","2018-07-01","4.38","21"
"books_general_interest","2018-08-01","4.25","36"
"books_imported","2017-04-01","1.00","1"
"books_imported","2017-06-01","5.00","2"
"books_imported","2017-08-01","5.00","1"
"books_imported","2017-09-01","5.00","4"
"books_imported","2017-11-01","5.00","3"
"books_imported","2017-12-01","3.33","3"
"books_imported","2018-01-01","3.83","6"
"books_imported","2018-02-01","4.33","3"
"books_imported","2018-03-01","5.00","3"
"books_imported","2018-04-01","4.75","4"
"books_imported","2018-05-01","4.90","10"
"books_imported","2018-06-01","5.00","9"
"books_imported","2018-07-01","3.40","5"
"books_imported","2018-08-01","5.00","1"
"books_technical","2017-02-01","4.00","1"
"books_technical","2017-03-01","5.00","2"
"books_technical","2017-04-01","4.00","1"
"books_technical","2017-05-01","4.67","3"
"books_technical","2017-06-01","5.00","2"
"books_technical","2017-07-01","5.00","2"
"books_technical","2017-08-01","4.67","9"
"books_technical","2017-09-01","4.25","8"
"books_technical","2017-10-01","4.83","6"
"books_technical","2017-11-01","3.67","6"
"books_technical","2017-12-01","4.00","4"
"books_technical","2018-01-01","4.82","17"
"books_technical","2018-02-01","4.00","23"
"books_technical","2018-03-01","4.18","17"
"books_technical","2018-04-01","4.64","22"
"books_technical","2018-05-01","4.35","55"
"books_technical","2018-06-01","4.60","25"
"books_technical","2018-07-01","3.95","20"
"books_technical","2018-08-01","4.72","29"
"cds_dvds_musicals","2017-07-01","4.00","5"
"cds_dvds_musicals","2017-08-01","5.00","3"
"cds_dvds_musicals","2017-10-01","5.00","1"
"cds_dvds_musicals","2017-11-01","5.00","3"
"cds_dvds_musicals","2017-12-01","5.00","1"
"cds_dvds_musicals","2018-04-01","5.00","1"
"christmas_supplies","2017-04-01","5.00","1"
"christmas_supplies","2017-06-01","4.33","3"
"christmas_supplies","2017-07-01","4.50","2"
"christmas_supplies","2017-08-01","5.00","1"
"christmas_supplies","2017-09-01","4.75","4"
"christmas_supplies","2017-10-01","4.58","12"
"christmas_supplies","2017-11-01","3.59","22"
"christmas_supplies","2017-12-01","4.40","15"
"christmas_supplies","2018-01-01","3.90","10"
"christmas_supplies","2018-02-01","3.56","18"
"christmas_supplies","2018-03-01","3.00","12"
"christmas_supplies","2018-04-01","4.45","11"
"christmas_supplies","2018-05-01","5.00","6"
"christmas_supplies","2018-06-01","4.57","7"
"christmas_supplies","2018-07-01","4.38","8"
"christmas_supplies","2018-08-01","4.10","10"
"cine_photo","2017-02-01","5.00","1"
"cine_photo","2017-04-01","5.00","2"
"cine_photo","2017-05-01","5.00","1"
"cine_photo","2017-06-01","5.00","1"
"cine_photo","2017-09-01","5.00","1"
"cine_photo","2017-10-01","3.00","1"
"cine_photo","2017-11-01","1.00","1"
"cine_photo","2018-01-01","5.00","2"
"cine_photo","2018-02-01","5.00","2"
"cine_photo","2018-03-01","2.29","7"
"cine_photo","2018-04-01","4.00","3"
"cine_photo","2018-05-01","4.75","16"
"cine_photo","2018-06-01","4.91","11"
"cine_photo","2018-07-01","4.43","7"
"cine_photo","2018-08-01","4.44","9"
"computers","2017-01-01","4.00","1"
"computers","2017-02-01","5.00","1"
"computers","2017-08-01","4.32","28"
"computers","2017-09-01","4.45","40"
"computers","2017-10-01","4.19","26"
"computers","2017-11-01","4.29","7"
"computers","2017-12-01","3.50","22"
"computers","2018-01-01","4.18","11"
"computers","2018-04-01","4.07","15"
"computers","2018-05-01","4.77","13"
"computers","2018-06-01","4.69","13"
"computers","2018-07-01","4.29","7"
"computers","2018-08-01","3.58","12"
"computers_accessories","2016-10-01","3.67","12"
"computers_accessories","2017-01-01","4.30","30"
"computers_accessories","2017-02-01","4.14","98"
"computers_accessories","2017-03-01","3.91","169"
"computers_accessories","2017-04-01","3.93","129"
"computers_accessories","2017-05-01","4.36","303"
"computers_accessories","2017-06-01","4.06","251"
"computers_accessories","2017-07-01","4.14","309"
"computers_accessories","2017-08-01","4.30","340"
"computers_accessories","2017-09-01","4.03","247"
"computers_accessories","2017-10-01","4.16","306"
"computers_accessories","2017-11-01","3.89","510"
"computers_accessories","2017-12-01","4.06","279"
"computers_accessories","2018-01-01","3.90","678"
"computers_accessories","2018-02-01","3.50","957"
"computers_accessories","2018-03-01","3.85","745"
"computers_accessories","2018-04-01","4.02","500"
