"category_name","product_id","sales_volume","rank"
"costruction_tools_tools","2c8e38b2b220b65a306d88444defb4fd","10","3"
"diapers_and_hygiene","3fdb534dccf5bc9ab0406944b913787d","14","1"
"diapers_and_hygiene","8323a7adeb57da21acea7e83563bed90","8","2"
"diapers_and_hygiene","3cc7ec95300ba6432c64f0b12673bae6","3","3"
"diapers_and_hygiene","6e7f4ae007302e93c5610894712289bb","3","3"
"diapers_and_hygiene","f83fd2b539bc73678c65be8d418be8c1","3","3"
"drinks","cd48f265a63e13b762601f5f794c5fca","91","1"
"drinks","ad2037645597db38527fe3afbe226af2","23","2"
"drinks","8fa67e5cb309b9cd7b4438e15948bdb2","19","3"
"drinks","d99526b1e4fa5f57b8bde34a7337b5ee","19","3"
"dvds_blu_ray","8ac47b3ab13c68f49f10dde899674149","5","1"
"dvds_blu_ray","d55d2479e56093f23ebcf313ceb3bcfe","4","2"
"dvds_blu_ray","6f19f41a7c7ac7e45f4070d07ed80a75","3","3"
"dvds_blu_ray","133f594a246e5c52489304a4b5a39830","3","3"
"electronics","7ce94ab189134e2d3c05f496d635419c","106","1"
"electronics","93c902b021a9e594f658ab1b0351602a","70","2"
"electronics","ab1f9387c0627dd24000bfbc54fdeee0","67","3"
"fashio_female_clothing","63cf4d771cba1d380af927afe5895d4b","8","1"
"fashio_female_clothing","bfa393df5b4494bea7158660999a921b","6","2"
"fashio_female_clothing","6e02baf23db1455640241542c78be139","4","3"
"fashion_bags_accessories","d017a2151d543a9885604dc62a3d9dcc","138","1"
"fashion_bags_accessories","1ec486885049bbb9b79351d150ed18c4","40","2"
"fashion_bags_accessories","87283a98b24f9f1ac3a31b631073cf47","36","3"
"fashion_childrens_clothes","57bdf3098169cccdb62221bd3e089cbd","3","1"
"fashion_childrens_clothes","8cfc3506cedc0626364457d254429118","2","2"
"fashion_childrens_clothes","28ac6af4008a402e5039f3e042a36e13","1","3"
"fashion_childrens_clothes","0ab3ab3b2869073aa9afe795fe9151aa","1","3"
"fashion_childrens_clothes","2b18330ce86ae5c606250b75b499f370","1","3"
"fashion_male_clothing","e336c656869480e20d04ca9389b12167","13","1"
"fashion_male_clothing","22656f41604127818c5984157e52bda8","6","2"
"fashion_male_clothing","dd231637766e756fd1cf2fd80501fce1","5","3"
"fashion_shoes","ac5e164e2eda939ffa46593f90077f9a","10","1"
"fashion_shoes","a2c75a23c2f838881dd4275c0cec519f","9","2"
"fashion_shoes","002159fe700ed3521f46cfcf6e941c76","8","3"
"fashion_sport","e8f7d2639ff8caa8b86e5973295898b7","5","1"
"fashion_sport","cc696680ea0cefcd5d7d5d928afb8de8","3","2"
"fashion_sport","a38e6346616a8f362c328b9537b1ca4d","3","2"
"fashion_underwear_beach","1de74e63d630007567726953a4eb2b36","12","1"
"fashion_underwear_beach","a70d74f54feefedd8108c45553766340","11","2"
"fashion_underwear_beach","a662d99595c3b6054702480cb7382afe","8","3"
"fashion_underwear_beach","7932fcce65e2aee84d6feb4a288f9cb9","8","3"
"fixed_telephony","913580fde3e72c3b3e4ce0b79963bee6","18","1"
"fixed_telephony","b4f9530c931398e215242293c2c8ba4c","14","2"
"fixed_telephony","4633dfeb3a2588bdb52af32d504b44eb","12","3"
"flowers","7620a27f1d6747511f1c6f0ddb63c0ef","10","1"
"flowers","065554bfe0244b9f5f6414f332106a21","4","2"
"flowers","e89607ddfcf953bc7a85adaca52e122a","4","2"
"food","89321f94e35fc6d7903d36f74e351d40","117","1"
"food","ed2067a9c1f79553088a3c67b99a9f97","55","2"
"food","73326828aa5efe1ba096223de496f596","52","3"
"food_drink","84f5c4f480ad6c9998d6a6860f1a2e41","24","1"
"food_drink","ec96b7b4e1401281edb9465d0d689cae","17","2"
"food_drink","54b755678728b84472c2b654ac4de777","13","3"
"furniture_bedroom","4f18ca9862f511ecba98258b2194d061","11","1"
"furniture_bedroom","0296dd002a346e3bbdda4e0bc48a5073","8","2"
"furniture_bedroom","0b814a3c8fa6dbb849df7c28c1bd6831","8","2"
"furniture_bedroom","0e2d52789a024cfd6f9204778320a8e5","8","2"
"furniture_decor","aca2eb7d00ea1a7b8ebd4e68314663af","520","1"
"furniture_decor","b532349fe46b38fbc7bb3914c1bdae07","167","2"
"furniture_decor","78efe838c04bbc568be034082200ac20","99","3"
"furniture_living_room","2ff995aead9c63a1f37a07b3664ead37","41","1"
"furniture_living_room","c94d19d021d4a8fbae5a45f904aeea90","29","2"
"furniture_living_room","58efb9b638561ce132216a9a612513e2","24","3"
"furniture_mattress_and_upholstery","726b4e18f00255e2e63491bcba3f60b8","22","1"
"furniture_mattress_and_upholstery","f4b3b257580c1430e51d71dd731273c2","4","2"
"furniture_mattress_and_upholstery","ed5783fe4b2194c66043e77b648ff4cb","3","3"
